log,ratio_variants_per_number_of_traces,ratio_most_common_variant,ratio_top_10_variants,epa_normalized_variant_entropy,epa_normalized_sequence_entropy,epa_normalized_sequence_entropy_linear_forgetting,epa_normalized_sequence_entropy_exponential_forgetting
BPIC16wm_p,0.002882363538101243,0.29580255809764006,0.7141055665645829,0.0,0.0,0.0,0.0
BPIC15f5,0.9974048442906575,0.0017301038062283738,0.10207612456747404,0.648702019618582,0.6032598312788823,0.34240966430145864,0.4045799140620184
BPIC15f1,0.97581317764804,0.006672226855713094,0.12176814011676397,0.6528546738228733,0.610294028540377,0.270241403634718,0.3639276823477533
BPIC19,0.04756210921051586,0.1997584752159025,0.9463679916101917,0.6455299432616961,0.32802880845275467,0.32018493101652423,0.32028165937446473
BPIC14dia_p,0.49684657628282136,0.03745495108975459,0.5528359361592586,0.7747431481404004,0.608349852096618,0.3056135491130337,0.3774158753612022
BPIC15f2,0.9951923076923077,0.002403846153846154,0.10336538461538461,0.6279728735030676,0.6023712370019746,0.31721666706868984,0.3904728730604407
BPIC15f3,0.957416607523066,0.0106458481192335,0.1376863023420866,0.6617814499249461,0.6056763319106016,0.34152054617721284,0.4049335030579143
BPIC13cp,0.1230665770006725,0.33154001344989914,0.8406186953597848,0.7053828282294897,0.31093992648055435,0.28651535436398873,0.28838337474541165
BPIC14dc_p,0.04844444444444444,0.07494444444444444,0.7650555555555556,0.47075846018381057,0.41926577160373285,0.31259860144334484,0.3267191725545549
BPIC20a,0.009428571428571429,0.4398095238095238,0.9500952380952381,0.6964738317936644,0.1647576988066761,0.08543856869524794,0.10438932784381554
BPIC14di_p,4.081521591249218e-05,0.7870806236564991,0.0,1.0,0.04401817427316338,0.03332176209081124,0.03468510107858211
BPIC17ol,0.00037213629491801375,0.3806256541458309,0.3806256541458309,0.8134791926692313,0.10512996634096308,0.05267160481055786,0.06599985770279808
BPIC13op,0.13186813186813187,0.21733821733821734,0.7692307692307693,0.7029596109025903,0.2767705997572258,0.26209382569914347,0.26302868574911575
RTFMP,0.0015362106803218727,0.3756201369954113,0.993103677595265,0.7693527129114833,0.11193232156025523,0.05258608507717499,0.0684419557029657
BPIC20d,0.09623630300142925,0.2710814673654121,0.822772748928061,0.7237852824924965,0.3170439544275999,0.1848793114880042,0.21438679470909938
BPIC12,0.3336135095896691,0.2620157408114923,0.6862535340414151,0.7082801992363859,0.42307369206028944,0.22613299562352554,0.27555110885475803
RWABOCSL,0.08089260808926081,0.49721059972105996,0.8870292887029289,0.6893625408247437,0.23553233326142903,0.10060267864640053,0.1381131076951861
BPIC20e,0.012924774905605577,0.43726401394133024,0.933488237002614,0.7037345089824446,0.1890477891729828,0.09757225799979354,0.11874350280141123
BPIC16c_p,0.43805309734513276,0.10176991150442478,0.4247787610619469,0.899497456838069,0.6837959317646618,0.40468538277141675,0.47011645121684603
BPIC13inc,0.20002647603918453,0.2321948636483982,0.7944135557320625,0.7178456643650226,0.4046505992440383,0.3910966399209151,0.39162541629548686
BPIC15f4,0.9962013295346629,0.002849002849002849,0.10256410256410256,0.6529853965167934,0.6038657724967609,0.35592674935925855,0.4128352484547986
BPIC17,0.5055698371893744,0.03351423402837284,0.5313402519914945,0.7417057936129976,0.4615650987308081,0.23192174623375963,0.290463965486879
BPIC20c,0.2092002830856334,0.13531493276716205,0.7575371549893843,0.7336529050731766,0.4201501005638698,0.13728746384712698,0.21549024206387518
BPIC20b,0.11676228872693441,0.21228097379438673,0.811288571871608,0.7582679459948295,0.33937978632266513,0.14561131591616602,0.19375287420055703
HD,0.049344978165938864,0.5165938864628821,0.9063318777292576,0.7991204049147201,0.2540658716935953,0.11847774047157643,0.15457643727216994
SEPSIS,0.8057142857142857,0.03333333333333333,0.2742857142857143,0.6957588422064969,0.5223430410751398,0.21936523360299368,0.29950463593968696
