task,activities_std,epa_normalized_variant_entropy,eventropy_trace,mean_variant_occurrence,ratio_variants_per_number_of_traces,start_activities_median,trace_len_coefficient_variation
task_1,0.0,0.0,0.0,1.0,0.0,1.0,0.0
task_2,0.0,0.0,0.0,1.0,0.0,1.0,0.68
task_3,0.0,0.0,0.0,1.0,0.0,1.0,4.74
task_4,0.0,0.0,0.0,1.0,0.0,7975.71,0.0
task_5,0.0,0.0,0.0,1.0,0.0,7975.71,0.68
task_6,0.0,0.0,0.0,1.0,0.0,7975.71,4.74
task_7,0.0,0.0,0.0,1.0,0.0,150370.0,0.0
task_8,0.0,0.0,0.0,1.0,0.0,150370.0,0.68
task_9,0.0,0.0,0.0,1.0,0.0,150370.0,4.74
task_10,0.0,0.0,0.0,1.0,0.47,1.0,0.0
task_11,0.0,0.0,0.0,1.0,0.47,1.0,0.68
task_12,0.0,0.0,0.0,1.0,0.47,1.0,4.74
task_13,0.0,0.0,0.0,1.0,0.47,7975.71,0.0
task_14,0.0,0.0,0.0,1.0,0.47,7975.71,0.68
task_15,0.0,0.0,0.0,1.0,0.47,7975.71,4.74
task_16,0.0,0.0,0.0,1.0,0.47,150370.0,0.0
task_17,0.0,0.0,0.0,1.0,0.47,150370.0,0.68
task_18,0.0,0.0,0.0,1.0,0.47,150370.0,4.74
task_19,0.0,0.0,0.0,1.0,1.0,1.0,0.0
task_20,0.0,0.0,0.0,1.0,1.0,1.0,0.68
task_21,0.0,0.0,0.0,1.0,1.0,1.0,4.74
task_22,0.0,0.0,0.0,1.0,1.0,7975.71,0.0
task_23,0.0,0.0,0.0,1.0,1.0,7975.71,0.68
task_24,0.0,0.0,0.0,1.0,1.0,7975.71,4.74
task_25,0.0,0.0,0.0,1.0,1.0,150370.0,0.0
task_26,0.0,0.0,0.0,1.0,1.0,150370.0,0.68
task_27,0.0,0.0,0.0,1.0,1.0,150370.0,4.74
task_28,0.0,0.0,0.0,838.6,0.0,1.0,0.0
task_29,0.0,0.0,0.0,838.6,0.0,1.0,0.68
task_30,0.0,0.0,0.0,838.6,0.0,1.0,4.74
task_31,0.0,0.0,0.0,838.6,0.0,7975.71,0.0
task_32,0.0,0.0,0.0,838.6,0.0,7975.71,0.68
task_33,0.0,0.0,0.0,838.6,0.0,7975.71,4.74
task_34,0.0,0.0,0.0,838.6,0.0,150370.0,0.0
task_35,0.0,0.0,0.0,838.6,0.0,150370.0,0.68
task_36,0.0,0.0,0.0,838.6,0.0,150370.0,4.74
task_37,0.0,0.0,0.0,838.6,0.47,1.0,0.0
task_38,0.0,0.0,0.0,838.6,0.47,1.0,0.68
task_39,0.0,0.0,0.0,838.6,0.47,1.0,4.74
task_40,0.0,0.0,0.0,838.6,0.47,7975.71,0.0
task_41,0.0,0.0,0.0,838.6,0.47,7975.71,0.68
task_42,0.0,0.0,0.0,838.6,0.47,7975.71,4.74
task_43,0.0,0.0,0.0,838.6,0.47,150370.0,0.0
task_44,0.0,0.0,0.0,838.6,0.47,150370.0,0.68
task_45,0.0,0.0,0.0,838.6,0.47,150370.0,4.74
task_46,0.0,0.0,0.0,838.6,1.0,1.0,0.0
task_47,0.0,0.0,0.0,838.6,1.0,1.0,0.68
task_48,0.0,0.0,0.0,838.6,1.0,1.0,4.74
task_49,0.0,0.0,0.0,838.6,1.0,7975.71,0.0
task_50,0.0,0.0,0.0,838.6,1.0,7975.71,0.68
task_51,0.0,0.0,0.0,838.6,1.0,7975.71,4.74
task_52,0.0,0.0,0.0,838.6,1.0,150370.0,0.0
task_53,0.0,0.0,0.0,838.6,1.0,150370.0,0.68
task_54,0.0,0.0,0.0,838.6,1.0,150370.0,4.74
task_55,0.0,0.0,0.0,24500.67,0.0,1.0,0.0
task_56,0.0,0.0,0.0,24500.67,0.0,1.0,0.68
task_57,0.0,0.0,0.0,24500.67,0.0,1.0,4.74
task_58,0.0,0.0,0.0,24500.67,0.0,7975.71,0.0
task_59,0.0,0.0,0.0,24500.67,0.0,7975.71,0.68
task_60,0.0,0.0,0.0,24500.67,0.0,7975.71,4.74
task_61,0.0,0.0,0.0,24500.67,0.0,150370.0,0.0
task_62,0.0,0.0,0.0,24500.67,0.0,150370.0,0.68
task_63,0.0,0.0,0.0,24500.67,0.0,150370.0,4.74
task_64,0.0,0.0,0.0,24500.67,0.47,1.0,0.0
task_65,0.0,0.0,0.0,24500.67,0.47,1.0,0.68
task_66,0.0,0.0,0.0,24500.67,0.47,1.0,4.74
task_67,0.0,0.0,0.0,24500.67,0.47,7975.71,0.0
task_68,0.0,0.0,0.0,24500.67,0.47,7975.71,0.68
task_69,0.0,0.0,0.0,24500.67,0.47,7975.71,4.74
task_70,0.0,0.0,0.0,24500.67,0.47,150370.0,0.0
task_71,0.0,0.0,0.0,24500.67,0.47,150370.0,0.68
task_72,0.0,0.0,0.0,24500.67,0.47,150370.0,4.74
task_73,0.0,0.0,0.0,24500.67,1.0,1.0,0.0
